61,55,61
93,90,91
71,71,72
67,61,71
76,71,73
177,170,177
116,101,105
115,105,110
183,183,186
144,130,140
52,43,52
97,97,97
78,76,76
102,102,102
71,56,68
188,188,188
139,139,139
146,116,141
226,226,226
147,139,139
64,56,60
79,74,79
79,70,73
70,65,72
62,55,57
165,154,155
138,117,128
134,114,143
171,160,167
155,149,163
74,59,59
63,59,60
63,53,53
63,58,59
60,54,56
119,105,108
127,107,110
128,103,106
97,92,99
111,101,104
89,89,89
78,60,59
49,42,46
55,49,51
73,60,61
123,101,104
142,109,115
138,122,124
122,122,133
137,112,114
68,58,58
68,56,57
72,56,56
61,55,56
64,58,59
125,107,108
122,102,102
121,102,103
119,105,115
112,104,105
157,157,157
111,111,112
62,55,60
211,211,211
125,123,123
134,121,131
459,459,459
293,293,293
172,172,172
464,464,464
184,184,184
103,103,103
65,62,67
185,185,185
132,132,132
255,255,255
436,436,436
360,360,360
314,314,314
124,112,133
198,198,198
137,137,137
84,80,80
235,235,235
164,164,164
188,185,185
110,99,102
357,357,357
262,262,262
151,124,143
82,65,68
67,57,57
72,57,60
75,65,69
80,60,65
144,110,111
106,101,102
132,118,127
140,118,119
124,114,117
106,98,106
59,53,53
60,55,56
64,60,64
88,86,88
143,120,131
125,112,112
169,155,165
152,129,138
156,152,152
73,58,61
81,59,61
69,57,58
64,56,57
77,62,63
126,105,107
131,116,118
146,120,135
148,115,118
119,101,101
116,103,109
107,92,101
104,90,91
94,86,93
127,117,117
107,93,102
102,100,107
153,153,153
79,62,70
193,193,193
103,93,95
105,85,91
100,92,106
126,118,123
105,98,108
107,89,90
104,84,88
66,61,70
91,80,81
92,89,96
90,80,84
135,109,110
95,84,86
97,87,94
108,94,99
88,79,80
88,86,86
83,73,75
88,77,78
89,86,89
264,264,264
239,239,239
175,172,172
291,291,291
230,230,230
282,282,282
120,105,107
411,411,411
275,275,275
149,149,149
322,322,322
295,295,295
174,174,174
94,82,93
253,253,253
131,104,107
99,81,82
107,93,104
108,92,96
116,87,88
121,106,114
150,150,158
114,109,110
93,90,96
152,132,133
113,93,94
90,79,79
114,96,102
96,84,86
104,84,86
