64,61
95,91
72,73
65,71
72,72
179,170
117,104
115,110
183,183
150,142
52,52
97,100
81,76
102,102
72,69
193,188
140,148
133,142
228,226
146,139
64,59
79,76
75,74
70,72
61,57
154,161
140,130
137,148
161,167
151,163
66,59
62,60
60,53
63,60
59,56
125,107
125,110
118,106
96,99
104,103
89,89
63,60
52,46
59,50
75,61
112,105
124,117
129,126
126,132
132,115
67,58
69,57
60,56
61,56
69,59
111,108
124,102
109,103
114,115
122,105
157,157
111,112
62,60
211,211
123,123
134,131
459,459
293,293
172,172
464,464
184,184
103,103
68,69
185,185
132,132
255,255
436,436
360,360
314,314
123,133
198,198
138,137
80,80
235,235
164,164
189,185
115,102
357,357
262,262
134,143
76,66
68,57
64,60
83,68
76,64
127,111
122,101
142,124
145,119
129,116
103,105
59,53
61,56
68,65
90,88
143,131
125,112
169,166
149,134
156,152
73,61
76,62
73,58
66,57
74,65
133,108
142,118
156,127
144,118
121,102
115,111
111,102
92,92
97,96
125,117
107,101
113,107
153,153
72,68
193,193
93,95
102,91
98,106
127,130
98,108
110,90
96,88
73,69
85,80
93,96
90,84
139,111
93,86
92,94
108,98
86,80
92,86
89,75
83,78
98,89
264,264
239,239
176,172
291,291
230,230
282,282
121,107
411,411
275,275
149,149
322,322
295,295
185,174
92,94
253,253
123,106
104,82
129,102
116,96
101,88
124,113
155,157
114,111
91,97
140,134
128,96
96,79
115,103
98,87
95,85
