74,55,61
112,90,91
86,71,72
84,61,71
87,71,73
209,170,177
136,101,106
128,105,110
201,183,186
157,128,140
61,44,51
105,97,97
92,76,76
112,102,102
81,56,68
204,188,188
160,139,139
166,116,142
232,226,226
172,139,139
72,56,60
85,74,79
91,70,73
78,65,72
73,55,57
178,154,155
166,117,128
163,113,143
200,160,167
175,149,163
86,59,59
74,59,60
74,53,53
80,58,59
77,55,56
154,104,108
147,107,110
137,103,106
129,92,97
149,101,104
99,89,89
91,59,60
61,43,46
72,49,51
79,60,61
128,101,104
169,110,113
177,121,124
149,122,132
157,113,114
76,58,58
74,56,57
66,56,56
71,55,56
81,58,59
147,108,108
157,102,102
148,103,103
147,105,115
150,104,104
166,157,157
116,111,112
71,55,60
212,211,211
124,123,123
161,121,132
459,459,459
297,293,293
198,172,172
464,464,464
185,184,184
107,103,103
81,62,67
186,185,185
136,132,132
265,255,255
436,436,436
364,360,360
344,314,314
140,112,133
198,198,198
142,137,137
104,80,80
235,235,235
169,164,164
229,185,185
133,99,102
368,357,357
270,262,262
190,124,143
100,65,68
88,57,58
90,57,60
85,64,70
96,61,65
167,109,111
128,101,102
173,118,126
184,118,118
172,115,117
144,98,106
81,53,52
85,55,56
68,61,65
105,86,88
204,119,131
145,112,112
190,155,165
210,129,138
189,152,152
105,58,61
94,59,62
97,56,58
72,56,57
96,62,63
147,103,108
183,116,118
185,119,135
