148,129
127,117
189,176
142,136
131,116
353,333
319,300
280,258
257,224
369,320
161,141
146,141
256,251
178,152
129,116
292,253
339,331
303,244
245,222
372,365
155,136
134,115
141,113
151,129
143,117
250,211
309,278
267,229
267,226
386,364
123,107
121,112
128,115
143,118
128,113
227,209
253,211
220,202
260,221
206,191
146,126
151,128
160,140
139,106
128,110
333,285
227,224
257,228
246,218
208,191
149,116
124,111
123,111
141,113
134,114
244,219
250,216
265,215
244,215
252,207
256,252
209,195
138,129
135,110
265,262
317,281
242,212
543,543
426,414
323,304
307,307
287,278
203,211
111,104
275,275
393,366
277,255
575,574
462,457
300,292
130,117
205,205
195,195
130,126
242,236
390,372
335,299
245,208
486,480
343,315
118,114
147,117
143,114
137,120
161,125
272,232
240,214
250,201
276,221
297,228
149,114
165,137
159,108
141,120
123,108
279,240
268,223
227,197
311,296
314,246
134,112
125,113
140,111
145,110
138,110
297,220
269,211
256,214
290,205
296,216
236,219
191,168
294,284
219,211
221,181
291,288
328,322
281,256
161,165
303,299
220,194
202,168
248,230
245,230
228,206
197,167
208,171
163,145
195,165
179,160
228,216
188,157
214,190
238,196
207,157
190,162
203,155
181,146
175,170
196,156
360,359
249,252
207,183
405,403
297,278
205,179
442,438
454,454
214,210
201,189
328,328
264,241
192,173
345,336
307,302
192,155
175,162
214,167
212,174
177,167
204,169
246,189
207,181
246,196
228,189
209,162
167,165
206,170
180,154
187,150
