55,56,55,55
89,95,89,89
71,71,71,71
59,59,52,54
71,71,71,71
170,176,170,170
103,105,101,101
98,103,77,84
183,183,183,183
126,132,126,126
43,43,43,46
97,97,97,97
76,76,76,76
102,102,102,102
62,58,56,56
188,188,188,188
139,140,139,139
106,115,104,114
226,226,226,226
141,139,139,139
51,53,45,45
74,76,74,74
71,70,70,70
65,65,65,66
48,49,40,44
154,154,154,154
115,116,107,110
119,115,113,120
160,164,160,160
149,150,149,149
54,54,38,39
49,53,38,39
48,51,37,37
49,54,39,39
46,52,38,38
119,117,81,81
98,102,74,76
87,89,68,73
76,71,59,69
84,104,66,69
89,89,89,89
57,55,43,49
42,44,42,42
46,51,45,45
59,62,52,52
96,113,79,79
114,125,101,101
103,122,95,100
122,122,122,122
116,130,97,97
51,55,37,37
50,55,36,36
54,58,36,36
51,53,36,36
54,51,38,38
96,92,69,74
97,104,71,72
93,108,67,68
91,91,69,82
108,105,70,72
157,157,157,157
111,111,111,111
53,49,37,41
211,211,211,211
123,123,123,123
124,121,117,122
459,459,459,459
293,293,293,293
172,172,172,172
464,464,464,464
184,184,184,184
103,103,103,103
62,62,62,62
185,185,185,185
132,132,132,132
255,255,255,255
436,436,436,436
360,360,360,360
314,314,314,314
99,103,75,91
198,198,198,198
137,138,137,137
80,83,80,80
235,235,235,235
164,164,164,164
185,185,185,185
87,87,64,72
357,357,357,357
262,262,262,262
117,121,106,111
70,79,48,51
55,74,43,43
58,66,48,48
69,68,50,56
63,74,52,53
108,117,83,84
93,96,68,69
107,134,94,94
129,134,97,96
103,124,87,87
103,104,98,98
54,64,49,49
54,59,52,52
52,54,45,45
86,93,83,83
132,145,118,118
112,118,112,112
156,177,155,155
136,153,125,125
152,155,152,152
62,66,43,44
63,79,44,45
59,65,40,41
46,56,37,37
66,78,44,45
111,111,74,78
123,136,80,81
116,144,90,107
116,136,84,88
100,105,72,75
101,110,101,101
88,96,77,77
79,84,58,61
89,98,83,83
117,117,117,117
95,93,92,92
100,101,100,100
153,153,153,153
64,65,59,59
193,193,193,193
93,93,93,93
75,84,65,68
92,96,92,92
118,126,114,114
98,98,98,98
74,83,58,57
84,88,57,58
62,64,61,61
73,80,51,54
73,81,59,68
83,88,74,74
112,125,109,109
75,75,60,62
91,86,79,79
93,100,93,93
69,76,51,51
76,81,55,54
68,72,49,52
73,81,52,52
80,75,57,60
264,264,264,264
239,239,239,239
172,172,172,172
291,291,291,291
230,230,230,230
282,282,282,282
105,105,105,105
411,411,411,411
275,275,275,275
149,149,149,149
322,322,322,322
295,295,295,295
174,174,174,174
87,84,73,73
253,253,253,253
110,118,93,93
74,91,68,68
91,116,87,90
97,108,76,77
83,99,67,68
98,107,76,80
153,156,150,152
115,116,109,109
90,90,90,90
132,148,131,131
107,105,71,71
80,88,54,54
105,112,70,79
83,99,60,63
87,98,66,67
