66,89,73
97,121,99
71,92,80
74,101,86
72,86,75
174,236,189
115,154,121
130,167,131
183,212,186
145,186,160
53,77,57
97,108,103
76,96,81
102,138,106
65,98,81
188,224,196
139,173,150
143,210,164
226,241,227
141,186,148
69,92,72
79,96,83
71,90,82
71,93,79
68,85,72
154,187,168
135,171,149
133,183,164
165,199,178
149,197,169
73,91,73
73,89,74
66,80,66
73,93,73
68,89,68
131,160,131
133,166,136
128,161,129
115,139,119
126,150,127
89,117,89
74,100,74
53,74,53
61,83,61
75,103,75
127,164,127
136,181,139
150,200,151
132,204,142
140,192,141
72,84,72
70,83,70
70,83,70
68,81,69
73,87,73
134,168,134
126,152,128
128,155,128
131,160,139
129,152,130
157,157,157
111,114,112
69,89,73
211,211,211
123,125,123
144,188,150
459,459,459
293,293,293
172,197,173
464,464,464
184,184,184
103,103,103
72,99,80
185,185,185
132,132,132
255,282,255
436,436,436
360,360,360
314,316,314
139,192,156
198,198,198
137,141,137
80,102,87
235,235,235
164,164,164
185,193,189
123,147,123
357,357,357
262,262,262
147,188,165
76,92,79
70,85,71
70,85,73
73,94,82
71,88,75
134,162,134
125,159,125
136,168,144
137,172,140
142,175,143
104,138,116
58,72,59
62,83,64
75,104,79
88,111,91
142,177,147
132,189,131
159,220,171
144,194,148
152,201,152
72,84,77
71,83,74
70,82,71
70,83,70
73,83,74
128,153,130
144,178,145
145,169,159
139,160,143
125,150,125
115,152,124
113,149,124
113,136,114
98,121,109
119,156,125
110,152,115
105,132,115
153,176,153
76,104,82
193,202,196
96,123,105
104,133,110
104,150,121
128,160,142
99,140,117
111,137,112
103,132,109
73,105,80
100,126,100
111,139,116
98,138,101
121,189,128
104,141,105
107,154,109
110,152,114
99,125,100
107,129,107
91,112,91
96,120,97
107,133,109
264,264,264
239,239,239
172,183,174
291,291,291
230,230,230
282,282,282
107,153,114
411,411,411
275,278,278
149,163,149
322,322,322
295,295,295
174,174,174
101,130,113
253,253,253
117,147,120
100,131,102
112,150,124
108,131,109
108,138,109
132,173,134
155,197,170
115,153,121
93,142,108
139,190,143
113,134,115
98,117,98
115,143,120
101,118,102
103,126,104
