117,134,95,99
111,126,82,89
175,176,175,175
135,144,129,129
113,116,84,84
334,340,332,332
319,319,299,299
257,278,205,207
215,216,166,176
316,326,309,309
142,157,133,133
135,129,96,100
250,252,250,250
162,161,149,149
117,117,107,107
260,258,206,208
331,338,331,331
273,262,206,206
233,229,210,212
362,369,362,362
146,152,128,128
109,107,74,78
104,105,73,80
128,143,112,113
115,131,98,98
197,194,134,141
280,285,271,271
224,232,203,207
216,236,191,191
356,368,356,356
102,113,68,71
105,95,71,71
105,105,70,73
119,124,80,83
108,113,71,72
194,194,130,138
238,228,148,150
188,218,140,140
234,204,141,150
180,167,120,128
128,137,118,118
121,120,100,100
132,136,91,101
104,121,85,85
120,118,88,88
291,290,182,187
195,202,134,150
223,249,204,204
210,214,151,151
185,186,125,135
123,126,74,75
118,108,70,71
101,96,70,73
124,129,75,76
106,115,72,74
208,220,136,143
192,204,137,138
206,208,135,138
218,215,136,139
202,184,130,130
252,252,252,252
200,203,195,195
127,130,117,117
92,93,69,70
262,263,262,262
288,296,276,276
218,212,168,168
543,545,543,543
420,422,413,413
307,309,286,286
307,307,307,307
278,281,278,278
204,207,203,203
95,89,78,78
275,275,275,275
369,369,366,366
248,255,232,232
574,574,574,574
457,460,457,457
286,287,286,286
98,101,73,83
201,203,201,201
195,195,195,195
111,117,86,87
236,241,236,236
373,400,366,366
307,326,290,290
199,196,132,135
480,485,480,480
328,322,314,314
103,107,71,76
129,137,91,93
122,127,77,80
123,128,76,79
147,155,93,95
254,291,170,179
221,215,138,141
170,165,128,131
247,284,173,180
243,274,162,163
110,119,74,77
144,151,131,131
125,136,92,92
122,131,88,88
100,97,68,72
255,276,216,217
223,248,205,205
201,218,137,137
300,314,289,289
278,288,236,236
109,120,71,74
98,101,70,73
131,120,76,77
111,118,73,73
103,98,70,70
233,264,152,162
212,236,144,145
204,214,135,137
231,260,144,146
241,273,150,155
212,205,177,179
153,158,114,127
281,283,280,280
201,214,190,190
184,182,157,157
288,294,288,288
311,320,311,311
255,258,255,255
163,155,124,127
297,306,297,297
183,205,174,174
156,171,109,118
234,244,230,230
228,230,221,221
206,203,189,189
169,152,103,111
167,186,131,131
142,158,110,110
151,154,105,108
153,160,116,121
211,207,193,193
167,172,108,111
184,174,117,130
192,214,176,177
165,160,132,132
153,150,102,103
159,176,106,106
141,143,92,94
160,160,109,117
152,172,111,111
359,364,359,359
246,252,245,245
163,173,117,122
396,396,396,396
278,283,278,278
186,181,171,171
438,439,438,438
454,454,454,454
211,209,200,200
201,181,120,142
328,330,328,328
248,242,234,234
175,170,117,121
336,338,336,336
302,304,302,302
145,158,104,108
128,121,100,108
199,200,153,153
186,204,143,143
165,152,103,110
180,196,156,156
214,216,171,171
183,199,176,176
219,221,192,192
192,233,162,164
164,182,113,113
132,131,100,110
180,214,121,126
158,172,112,113
150,153,98,101
